Model,Ground Truth #Correct,Ground Truth #Incorrect,DeepInfer #Violation,DeepInfer #Satisfaction,DeepInfer #Correct,DeepInfer #Incorrect,DeepInfer #Uncertain
BM1,1072,1044,18814,40434,616,1500,0
BM2,1066,1050,14855,44393,1492,624,0
BM3,1054,1062,7370,51878,734,1382,0
BM4,1067,1049,17486,41762,1061,1055,0
BM5,1052,1064,12063,47185,1000,1116,0
BM6,1059,1057,30570,28678,1293,823,0
BM7,1074,1042,12762,46486,1375,741,0
BM8,1075,1041,15213,44035,1089,1027,0
BM9,1058,1058,30651,28597,1197,919,0
BM10,1092,1024,17528,41720,1102,1014,0
BM11,1092,1024,17491,41757,1306,810,0
BM12,1075,1041,12344,46904,771,1345,0
GC1,198,2,1044,3356,200,0,0
GC2,198,2,959,3441,188,12,0
GC3,198,2,1200,3200,73,127,0
GC4,198,2,2058,2342,200,0,0
GC5,198,2,1193,3207,195,5,0
GC6,198,2,1185,3215,67,133,0
GC7,198,2,1698,2702,195,5,0
GC8,198,2,1443,2957,143,57,0
GC9,198,2,1443,2957,143,57,0
PD2,99,54,0,1224,153,0,0
PD1,119,34,192,1032,108,43,2
PD3,98,55,129,1095,74,79,0
PD4,111,42,132,1092,37,116,0
